[INFO] sample01.png | time=2.400s | blank=False | rot=0 | deskew=0.0
[INFO] sample02.png | time=1.941s | blank=False | rot=0 | deskew=0.0
[INFO] sample03.png | time=0.854s | blank=False | rot=0 | deskew=0.0
[INFO] sample04.png | time=0.722s | blank=False | rot=0 | deskew=0.0
[INFO] sample05.png | time=1.105s | blank=False | rot=0 | deskew=-13.903997241115647
[INFO] sample06.png | time=1.800s | blank=False | rot=180 | deskew=0.0
[INFO] sample07.png | time=1.586s | blank=False | rot=0 | deskew=22.97114545263133
[INFO] sample08.png | time=1.567s | blank=False | rot=180 | deskew=-14.89347295884161
[INFO] sample09.png | time=2.547s | blank=False | rot=180 | deskew=16.990823291986167
[INFO] z7917071078814_ceb5809eb236c31512176f542f61fa90.jpg | time=2.096s | blank=False | rot=0 | deskew=0.0
[INFO] z7917071581695_47b83aeb2820ffa638b2f84a361e4efb.jpg | time=2.110s | blank=False | rot=0 | deskew=1.1017061152063747
[INFO] sample01.png | time=1.133s | blank=False | rot=0 | deskew=0.0
[INFO] sample02.png | time=1.538s | blank=False | rot=0 | deskew=0.0
[INFO] sample03.png | time=0.833s | blank=False | rot=0 | deskew=0.0
[INFO] sample04.png | time=0.716s | blank=False | rot=0 | deskew=0.0
[INFO] sample05.png | time=1.089s | blank=False | rot=0 | deskew=-13.903997241115647
[INFO] sample06.png | time=1.819s | blank=False | rot=180 | deskew=0.0
[INFO] sample07.png | time=1.284s | blank=False | rot=0 | deskew=22.97114545263133
[INFO] sample08.png | time=1.749s | blank=False | rot=180 | deskew=-14.89347295884161
[INFO] sample09.png | time=2.430s | blank=False | rot=180 | deskew=16.990823291986167
[INFO] z7917071078814_ceb5809eb236c31512176f542f61fa90.jpg | time=2.477s | blank=False | rot=0 | deskew=0.0
[INFO] z7917071581695_47b83aeb2820ffa638b2f84a361e4efb.jpg | time=2.132s | blank=False | rot=0 | deskew=1.1017061152063747
[INFO] sample01.png | time=0.961s | blank=False | rot=0 | deskew=0.0
[INFO] sample02.png | time=1.592s | blank=False | rot=0 | deskew=0.0
[INFO] sample03.png | time=0.764s | blank=False | rot=0 | deskew=0.0
[INFO] sample04.png | time=0.672s | blank=False | rot=0 | deskew=0.0
[INFO] sample05.png | time=1.003s | blank=False | rot=0 | deskew=-13.903997241115647
[INFO] sample06.png | time=1.717s | blank=False | rot=180 | deskew=0.0
[INFO] sample07.png | time=1.246s | blank=False | rot=0 | deskew=22.97114545263133
[INFO] sample08.png | time=1.236s | blank=False | rot=180 | deskew=-14.89347295884161
[INFO] sample09.png | time=2.227s | blank=False | rot=180 | deskew=16.990823291986167
[INFO] z7917071078814_ceb5809eb236c31512176f542f61fa90.jpg | time=1.743s | blank=False | rot=0 | deskew=0.0
[INFO] z7917071581695_47b83aeb2820ffa638b2f84a361e4efb.jpg | time=1.678s | blank=False | rot=0 | deskew=1.1017061152063747
[INFO] sample01.png | time=0.966s | blank=False | rot=0 | deskew=0.0
[INFO] sample02.png | time=1.750s | blank=False | rot=0 | deskew=0.0
[INFO] sample03.png | time=0.758s | blank=False | rot=0 | deskew=0.0
[INFO] sample04.png | time=0.699s | blank=False | rot=0 | deskew=0.0
[INFO] sample05.png | time=1.016s | blank=False | rot=0 | deskew=-13.903997241115647
[INFO] sample06.png | time=1.752s | blank=False | rot=180 | deskew=0.0
[INFO] sample07.png | time=1.308s | blank=False | rot=0 | deskew=22.97114545263133
[INFO] sample08.png | time=1.263s | blank=False | rot=180 | deskew=-14.89347295884161
[INFO] sample09.png | time=2.356s | blank=False | rot=180 | deskew=16.990823291986167
[INFO] z7917071078814_ceb5809eb236c31512176f542f61fa90.jpg | time=1.834s | blank=False | rot=0 | deskew=0.0
[INFO] z7917071581695_47b83aeb2820ffa638b2f84a361e4efb.jpg | time=1.636s | blank=False | rot=0 | deskew=1.1017061152063747
